PosX,PosY,PosZ,VelX,VelY,VelZ,Speed
2.673905e+01,2.377521e+01,5.085255e+00,6.541811e-01,5.380692e-01,5.134304e-01,9.904959e-01
2.651128e+01,2.454847e+01,2.757484e+01,7.991217e-01,2.594355e-01,5.648243e-01,1.012388e+00
2.231893e+01,2.571521e+01,9.395360e-02,2.810771e-01,-1.713284e-01,-1.059169e-01,3.457978e-01
2.709971e+01,2.696939e+01,2.120991e+00,-1.920887e-01,1.596753e+00,2.942003e-01,1.634953e+00
2.630655e+01,6.409149e-01,6.805415e-01,6.214049e-01,8.114895e-01,6.056501e-01,1.188054e+00
2.458696e+01,1.121802e+00,2.596445e+01,-1.705336e+00,1.616626e-01,9.111961e-01,1.940253e+00
1.186113e+00,2.685117e+01,4.177261e+00,-3.596356e-01,-1.829571e-01,-8.600348e-01,9.499847e-01
2.781294e+01,2.706491e+01,5.632983e+00,-1.025637e-01,1.111759e-01,-1.618540e-01,2.215313e-01
2.781877e-01,2.640016e+01,2.633689e+01,-9.171944e-01,5.253916e-01,1.302589e+00,1.677504e+00
2.774128e+01,2.554999e+00,2.582958e+01,-9.491605e-01,-1.381379e-02,-1.376455e+00,1.672042e+00
4.793165e-01,2.680132e+01,2.519192e+01,1.301996e+00,1.746215e-01,-7.824744e-01,1.529037e+00
3.229663e+00,5.705644e+00,2.933440e+00,-1.122014e-01,1.613909e-01,-3.866562e-01,4.337501e-01
9.132657e+00,6.900545e-01,2.487613e+01,4.086809e-01,-1.928257e+00,-6.457136e-01,2.074160e+00
1.253122e+01,7.219501e+00,2.311714e+01,4.108823e-01,-1.797160e-01,-1.292882e-01,4.667307e-01
1.930865e+00,2.647282e+01,3.325411e+00,-7.995209e-01,6.224735e-01,1.108664e-01,1.019313e+00
4.391361e+00,2.688775e+01,3.055454e+00,8.734784e-01,-6.846728e-01,8.232786e-01,1.381857e+00
3.036707e+00,2.476682e+00,4.592758e-01,3.430392e-01,7.121850e-01,5.347144e-01,9.543599e-01
6.499231e+00,7.161077e+00,2.842574e+00,1.722865e-01,4.416272e-01,4.507884e-02,4.761821e-01
5.648417e+00,2.778261e+01,2.510170e+01,8.238384e-01,-1.285236e-01,-7.805471e-01,1.142139e+00
8.178855e+00,2.463394e+01,2.632883e+01,-7.899941e-01,-1.375404e-01,-7.076803e-01,1.069495e+00
7.739143e-01,2.187669e+01,2.526416e+01,-3.675304e-01,1.621422e+00,1.066807e+00,1.975390e+00
1.077470e+01,4.382498e+00,2.176143e+01,-6.807654e-01,-4.518497e-01,3.934023e-01,9.068490e-01
1.286896e+01,8.526796e+00,2.275739e+01,-1.648355e+00,-7.228733e-01,2.102292e-03,1.799895e+00
1.024965e+01,2.378446e+01,2.600814e+01,3.148381e-01,-8.135643e-01,6.027817e-01,1.060356e+00
1.706909e+01,6.746605e+00,2.487249e+01,7.603607e-01,-7.137309e-01,-1.847813e-01,1.059105e+00
1.736221e+01,1.488373e+00,2.183065e+01,-1.025747e+00,3.867722e-01,1.235197e+00,1.651502e+00
1.248353e+01,2.543529e+01,2.590133e+01,7.825606e-02,9.146745e-01,6.829036e-01,1.144164e+00
1.273491e+01,2.713995e+01,2.263000e+01,-8.587486e-01,5.601327e-01,-5.590052e-01,1.167769e+00
1.199689e+01,1.943695e+00,3.368948e+00,6.294634e-01,-1.352532e+00,-3.673868e-01,1.536405e+00
2.283479e+01,4.140639e+00,2.411824e+01,-3.278995e-01,8.818856e-01,-1.292354e+00,1.598568e+00
2.111382e+01,4.886320e+00,2.716585e+01,-1.079431e+00,-7.204111e-01,1.097406e+00,1.699548e+00
1.344284e+01,2.778959e+01,9.534788e-01,-1.227993e+00,9.985424e-03,-1.225919e+00,1.735207e+00
