PosX,PosY,PosZ,VelX,VelY,VelZ,Speed
2.293562e+01,2.300950e+01,5.648413e-02,-1.810910e+00,8.254072e-01,5.943367e-01,2.077000e+00
7.978811e-01,7.775086e-01,2.300826e+01,1.450572e+00,1.156184e+00,1.217773e+00,2.218985e+00
8.246435e-01,1.176292e-02,6.154815e-01,2.700416e-01,-2.397057e-01,-1.934605e-01,4.096441e-01
6.998532e-02,7.838527e-01,8.306097e-01,-1.062469e+00,-7.299513e-01,5.760468e-01,1.411914e+00
1.749155e+00,1.757735e-01,2.299477e+01,-1.168086e+00,-2.551915e+00,6.871649e-01,2.889445e+00
2.617423e+00,7.842182e-01,1.418636e-01,-1.386782e+00,-1.790785e-01,-3.561655e-01,1.442944e+00
2.502422e+00,2.292899e+01,7.572586e-01,1.243911e+00,2.878454e-01,1.082148e-01,1.281359e+00
1.659428e+00,8.887403e-01,7.620646e-01,-7.797875e-01,2.440420e+00,1.281702e+00,2.864695e+00
3.340536e+00,2.295791e+01,2.297805e+01,-1.201645e+00,3.278119e-01,-3.081654e-01,1.283113e+00
3.941439e+00,9.187569e-01,6.717213e-02,-8.747726e-02,7.136050e-01,2.698299e-01,7.679144e-01
3.849324e+00,6.565978e-02,8.185852e-01,1.308710e+00,1.440186e+00,-4.689622e-01,2.001695e+00
3.280276e+00,8.577568e-01,1.041892e+00,-9.630325e-01,-7.945491e-01,-1.008166e+00,1.604724e+00
4.793674e+00,2.432104e-01,2.293982e+01,-3.051902e-01,1.056058e+00,-4.032683e-02,1.100011e+00
5.808362e+00,8.121543e-01,2.287108e+01,1.483119e+00,-9.798886e-01,-2.585344e+00,3.137487e+00
5.927745e+00,1.465560e-01,9.606497e-01,2.999265e-01,1.706383e-01,7.123554e-01,7.915324e-01
5.013028e+00,9.412114e-01,9.239719e-01,-2.422547e-01,-5.894006e-01,-8.894483e-01,1.094166e+00
6.523408e+00,7.863963e-02,2.298743e+01,-3.089521e-01,7.488319e-01,1.132305e+00,1.392234e+00
7.382417e+00,7.834405e-01,2.295784e+01,4.092937e-01,-2.040663e+00,1.441989e+00,2.532027e+00
7.510824e+00,8.426102e-02,6.325685e-01,-8.403464e-01,-1.031142e+00,-1.142876e+00,1.753739e+00
6.852256e+00,7.570974e-01,9.731220e-01,-8.494049e-01,1.017304e+00,-2.286754e-01,1.344875e+00
8.274731e+00,1.190436e-01,2.295879e+01,-9.168875e-01,-3.442799e-01,3.975231e-01,1.056994e+00
9.257672e+00,8.017943e-01,5.774284e-03,1.533071e-01,6.871339e-01,-3.514385e-01,7.868704e-01
9.044359e+00,2.299020e+01,8.728854e-01,2.095245e-01,-4.740458e-01,5.881379e-01,7.839172e-01
8.503487e+00,8.659411e-01,8.339214e-01,2.907569e-01,9.430965e-01,-7.095209e-01,1.215480e+00
9.959744e+00,2.297158e+01,7.595079e-02,4.576924e-01,8.726413e-01,-9.928922e-01,1.398864e+00
1.066447e+01,8.278841e-01,2.298177e+01,9.280438e-01,-8.166571e-01,-2.133917e+00,2.466130e+00
1.067925e+01,2.289937e+01,8.722720e-01,-6.520461e-02,7.035344e-01,-3.503574e-01,7.886461e-01
9.881712e+00,7.273038e-01,8.195849e-01,-4.977519e-01,-2.007571e+00,-1.364363e-01,2.072851e+00
1.163751e+01,9.920502e-02,1.195886e-01,2.169868e-01,1.902041e+00,6.798140e-01,2.031499e+00
1.249112e+01,8.083535e-01,1.671658e-01,5.227386e-01,4.426309e-01,-1.116713e+00,1.310048e+00
1.244817e+01,2.301552e+01,8.887899e-01,-1.543437e-01,1.809214e-01,-7.228887e-01,7.610011e-01
1.150282e+01,7.344531e-01,9.327141e-01,4.956273e-01,-7.292441e-01,1.181484e-01,8.896080e-01
1.320246e+01,2.300884e+01,9.495273e-02,-7.931767e-01,-1.782595e-01,1.005294e+00,1.292873e+00
1.426432e+01,6.502521e-01,8.427829e-02,-7.171345e-01,4.155456e-01,-5.840325e-01,1.013930e+00
1.408223e+01,5.926958e-02,9.522574e-01,1.403568e+00,-2.264066e+00,-9.580996e-01,2.830893e+00
1.324617e+01,7.692218e-01,8.534329e-01,-1.678502e+00,2.591096e-01,-1.653684e-01,1.706415e+00
1.487939e+01,2.278452e+01,1.649081e-01,-1.449601e+00,-1.049019e+00,1.193517e+00,2.150875e+00
1.562535e+01,7.315753e-01,1.805106e-02,4.162013e-02,1.244381e+00,4.664519e-02,1.245950e+00
1.582077e+01,4.073064e-03,9.418597e-01,-1.159057e+00,1.643028e+00,3.658241e-01,2.043717e+00
1.494053e+01,7.954120e-01,9.050098e-01,1.615224e+00,1.700475e+00,8.318861e-01,2.488493e+00
1.664962e+01,2.287182e+01,2.294259e+01,-1.196364e-01,4.572837e-01,2.764741e-01,5.475940e-01
