TimeStep,Temp,PotEnergy,TotEnergy,MeanSqDisp
0,6.464222e-01,-7.310424e-04,-6.427012e-04,6.982120e-03
1,6.357104e-01,-7.296627e-04,-6.427854e-04,1.392575e-02
2,6.179364e-01,-7.273614e-04,-6.429131e-04,2.079193e-02
3,5.932550e-01,-7.241232e-04,-6.430479e-04,2.754071e-02
4,5.619676e-01,-7.199771e-04,-6.431776e-04,3.413086e-02
5,5.246073e-01,-7.149910e-04,-6.432972e-04,4.051980e-02
6,4.820375e-01,-7.092800e-04,-6.434039e-04,4.666387e-02
7,4.355448e-01,-7.030182e-04,-6.434958e-04,5.251911e-02
8,3.868934e-01,-6.964464e-04,-6.435728e-04,5.804259e-02
9,3.382943e-01,-6.898681e-04,-6.436362e-04,6.319438e-02
10,2.922487e-01,-6.836280e-04,-6.436888e-04,6.793999e-02
11,2.512625e-01,-6.780724e-04,-6.437344e-04,7.225307e-02
12,2.174871e-01,-6.734991e-04,-6.437769e-04,7.611768e-02
13,1.923920e-01,-6.701114e-04,-6.438188e-04,7.952991e-02
14,1.765706e-01,-6.679916e-04,-6.438611e-04,8.249817e-02
15,1.697285e-01,-6.670987e-04,-6.439033e-04,8.504242e-02
16,1.708322e-01,-6.672902e-04,-6.439440e-04,8.719225e-02
17,1.783545e-01,-6.683558e-04,-6.439816e-04,8.898441e-02
18,1.905397e-01,-6.700544e-04,-6.440149e-04,9.046004e-02
19,2.056334e-01,-6.721455e-04,-6.440433e-04,9.166204e-02
20,2.220491e-01,-6.744121e-04,-6.440665e-04,9.263275e-02
21,2.384673e-01,-6.766743e-04,-6.440849e-04,9.341212e-02
22,2.538763e-01,-6.787944e-04,-6.440992e-04,9.403629e-02
23,2.675718e-01,-6.806767e-04,-6.441098e-04,9.453676e-02
24,2.791282e-01,-6.822636e-04,-6.441174e-04,9.493990e-02
25,2.883570e-01,-6.835303e-04,-6.441229e-04,9.526682e-02
26,2.952611e-01,-6.844774e-04,-6.441265e-04,9.553355e-02
27,2.999904e-01,-6.851260e-04,-6.441288e-04,9.575144e-02
28,3.028028e-01,-6.855120e-04,-6.441304e-04,9.592768e-02
29,3.040306e-01,-6.856805e-04,-6.441311e-04,9.606596e-02
30,3.040513e-01,-6.856831e-04,-6.441309e-04,9.616717e-02
31,3.032624e-01,-6.855747e-04,-6.441303e-04,9.623016e-02
32,3.020568e-01,-6.854096e-04,-6.441299e-04,9.625244e-02
33,3.008005e-01,-6.852374e-04,-6.441295e-04,9.623092e-02
34,2.998126e-01,-6.851018e-04,-6.441289e-04,9.616253e-02
35,2.993496e-01,-6.850377e-04,-6.441280e-04,9.604475e-02
36,2.995968e-01,-6.850703e-04,-6.441269e-04,9.587602e-02
37,3.006666e-01,-6.852151e-04,-6.441255e-04,9.565607e-02
38,3.026029e-01,-6.854781e-04,-6.441239e-04,9.538603e-02
39,3.053896e-01,-6.858571e-04,-6.441220e-04,9.506855e-02
40,3.089612e-01,-6.863430e-04,-6.441198e-04,9.470772e-02
41,3.132127e-01,-6.869213e-04,-6.441170e-04,9.430898e-02
42,3.180083e-01,-6.875733e-04,-6.441137e-04,9.387896e-02
43,3.231893e-01,-6.882778e-04,-6.441101e-04,9.342530e-02
44,3.285820e-01,-6.890109e-04,-6.441063e-04,9.295637e-02
45,3.340055e-01,-6.897479e-04,-6.441021e-04,9.248100e-02
46,3.392816e-01,-6.904646e-04,-6.440978e-04,9.200821e-02
47,3.442428e-01,-6.911379e-04,-6.440931e-04,9.154688e-02
48,3.487416e-01,-6.917475e-04,-6.440878e-04,9.110545e-02
49,3.526556e-01,-6.922767e-04,-6.440822e-04,9.069161e-02
50,3.558924e-01,-6.927132e-04,-6.440763e-04,9.031211e-02
51,3.583903e-01,-6.930489e-04,-6.440707e-04,8.997253e-02
52,3.601174e-01,-6.932793e-04,-6.440650e-04,8.967715e-02
53,3.610686e-01,-6.934036e-04,-6.440593e-04,8.942887e-02
54,3.612620e-01,-6.934245e-04,-6.440538e-04,8.922918e-02
55,3.607342e-01,-6.933468e-04,-6.440482e-04,8.907820e-02
56,3.595374e-01,-6.931777e-04,-6.440427e-04,8.897475e-02
57,3.577363e-01,-6.929263e-04,-6.440374e-04,8.891637e-02
58,3.554065e-01,-6.926031e-04,-6.440326e-04,8.889956e-02
59,3.526356e-01,-6.922200e-04,-6.440282e-04,8.891981e-02
60,3.495255e-01,-6.917909e-04,-6.440242e-04,8.897181e-02
61,3.461957e-01,-6.913319e-04,-6.440202e-04,8.904965e-02
62,3.427829e-01,-6.908617e-04,-6.440164e-04,8.914701e-02
63,3.394345e-01,-6.904005e-04,-6.440128e-04,8.925747e-02
