TimeStep,Temp,PotEnergy,TotEnergy,MeanSqDisp
0,7.499724e-01,-4.898520e-04,-3.873594e-04,7.500000e-03
1,7.498762e-01,-4.898311e-04,-3.873517e-04,1.499972e-02
2,7.496716e-01,-4.898062e-04,-3.873548e-04,2.249876e-02
3,7.492911e-01,-4.897743e-04,-3.873749e-04,2.999644e-02
4,7.486355e-01,-4.897159e-04,-3.874060e-04,3.749166e-02
5,7.475712e-01,-4.896064e-04,-3.874420e-04,4.498277e-02
6,7.459267e-01,-4.894188e-04,-3.874791e-04,5.246731e-02
7,7.434902e-01,-4.891213e-04,-3.875146e-04,5.994187e-02
8,7.400073e-01,-4.886776e-04,-3.875469e-04,6.740184e-02
9,7.351817e-01,-4.880465e-04,-3.875752e-04,7.484113e-02
10,7.286819e-01,-4.871817e-04,-3.875987e-04,8.225192e-02
11,7.201568e-01,-4.860347e-04,-3.876168e-04,8.962437e-02
12,7.092656e-01,-4.845584e-04,-3.876289e-04,9.694639e-02
13,6.957260e-01,-4.827136e-04,-3.876344e-04,1.042034e-01
14,6.793780e-01,-4.804778e-04,-3.876328e-04,1.113784e-01
15,6.602546e-01,-4.778555e-04,-3.876239e-04,1.184522e-01
16,6.386391e-01,-4.748855e-04,-3.876079e-04,1.254036e-01
17,6.150868e-01,-4.716448e-04,-3.875860e-04,1.322108e-01
18,5.903962e-01,-4.682441e-04,-3.875594e-04,1.388522e-01
19,5.655292e-01,-4.648165e-04,-3.875302e-04,1.453075e-01
20,5.414969e-01,-4.615024e-04,-3.875005e-04,1.515592e-01
21,5.192389e-01,-4.584321e-04,-3.874720e-04,1.575936e-01
22,4.995235e-01,-4.557114e-04,-3.874456e-04,1.634013e-01
23,4.828849e-01,-4.534142e-04,-3.874222e-04,1.689775e-01
24,4.696022e-01,-4.515788e-04,-3.874022e-04,1.743220e-01
25,4.597136e-01,-4.502107e-04,-3.873854e-04,1.794389e-01
26,4.530549e-01,-4.492872e-04,-3.873719e-04,1.843357e-01
27,4.493104e-01,-4.487647e-04,-3.873611e-04,1.890227e-01
28,4.480641e-01,-4.485860e-04,-3.873528e-04,1.935126e-01
29,4.488469e-01,-4.486867e-04,-3.873464e-04,1.978190e-01
30,4.511760e-01,-4.490001e-04,-3.873416e-04,2.019566e-01
31,4.545867e-01,-4.494626e-04,-3.873379e-04,2.059399e-01
32,4.586582e-01,-4.500163e-04,-3.873352e-04,2.097831e-01
33,4.630315e-01,-4.506120e-04,-3.873333e-04,2.134995e-01
34,4.674185e-01,-4.512104e-04,-3.873322e-04,2.171017e-01
35,4.716024e-01,-4.517819e-04,-3.873319e-04,2.206008e-01
