PosX,PosY,PosZ,VelX,VelY,VelZ,Speed
1.530585e+00,8.622449e+00,2.155941e+00,-1.066862e-01,8.260272e-01,2.923780e-01,8.827161e-01
1.164228e-01,6.407891e+00,7.321143e+00,-4.185646e-01,8.731941e-01,-2.302534e-03,9.683334e-01
1.189093e+00,4.155223e+00,1.397288e+00,-1.400684e-01,5.575392e-01,1.177174e-01,5.867934e-01
6.351763e+00,2.608822e+00,1.372964e+00,-4.854556e-02,-1.139841e-01,2.725388e-01,2.993768e-01
4.153112e+00,8.695924e+00,2.323535e+00,-9.480965e-02,8.563927e-01,-1.187358e+00,1.467043e+00
3.378474e+00,8.890228e-01,4.456606e+00,5.893429e-01,2.977262e-01,-1.436324e+00,1.580820e+00
2.881015e+00,8.632533e+00,7.373663e+00,2.596441e-01,5.057857e-01,-7.531740e-01,9.436659e-01
7.523611e-01,7.092437e+00,1.098562e+00,-3.920614e-01,-9.134468e-02,1.899937e-01,4.451445e-01
2.323774e+00,8.348771e-01,4.235360e+00,1.326388e+00,-4.142320e-01,1.217425e+00,1.847436e+00
4.654103e+00,2.842403e+00,7.827330e+00,1.186231e+00,-6.801905e-01,4.007796e-01,1.424931e+00
8.838220e+00,8.609315e+00,3.860527e+00,1.117349e-01,-7.240921e-01,-4.168421e-01,8.429421e-01
3.353416e+00,2.062439e+00,2.050273e-01,-3.185445e-01,-1.626426e+00,-8.410852e-01,1.858536e+00
4.286006e+00,3.103133e+00,9.261213e-01,1.391949e+00,1.384717e+00,-4.429715e-01,2.012756e+00
8.548343e+00,6.969066e-01,3.652572e-02,-3.906344e-01,2.962378e-01,1.403060e-02,4.904579e-01
7.166379e+00,1.365295e+00,2.241233e+00,7.296174e-01,1.215604e-01,5.691923e-01,9.333265e-01
7.169813e+00,7.003963e+00,1.950765e-02,-6.723510e-01,3.932574e-01,1.549856e-01,7.941837e-01
6.854175e+00,8.100779e+00,7.465089e+00,1.949959e-03,-1.165266e+00,9.261232e-01,1.488473e+00
7.999413e+00,7.880389e+00,8.413998e+00,-2.773419e-01,6.202276e-02,-1.493271e-01,3.210357e-01
8.232534e+00,1.286408e+00,5.742402e+00,-1.132013e+00,-8.354917e-01,2.160106e-01,1.423433e+00
6.323411e+00,8.807279e+00,1.200210e+00,2.513344e-01,4.869042e-01,5.141597e-01,7.514020e-01
5.769793e+00,8.262674e-01,7.198172e+00,-6.063132e-02,1.352969e-01,-4.874931e-01,5.095399e-01
7.826489e+00,2.423080e-01,9.769014e-01,4.023406e-01,-5.242032e-01,1.015590e+00,1.211648e+00
7.193559e+00,7.665805e+00,1.970248e+00,-7.412431e-01,4.097695e-01,4.983917e-01,9.827241e-01
5.382777e+00,8.723431e+00,6.303778e+00,2.461507e-03,4.401166e-01,3.831804e-01,5.835546e-01
2.375171e+00,6.986712e-01,7.300417e+00,-9.614276e-01,2.622049e-01,-1.716061e-01,1.011209e+00
4.605451e-01,2.170779e+00,8.410779e+00,2.038170e+00,3.293451e-01,8.819420e-01,2.245089e+00
1.945160e+00,2.614946e+00,1.596098e+00,1.282548e-02,1.083886e+00,-4.168181e-01,1.161340e+00
3.201322e+00,5.547127e-01,5.733163e+00,-1.621689e+00,-5.444384e-01,-4.471506e-01,1.768115e+00
5.432235e+00,6.188814e+00,4.248100e+00,7.103684e-01,7.096181e-01,7.348111e-01,1.244238e+00
8.211698e+00,3.498513e+00,6.206440e+00,-9.037650e-01,-5.788744e-01,-7.890404e-01,1.332093e+00
3.777648e+00,2.818277e+00,4.666462e+00,-8.188714e-01,1.804783e+00,-3.702689e-01,2.016158e+00
4.730775e+00,5.204412e+00,7.646058e+00,1.626241e+00,-4.544536e-01,-3.994557e-01,1.735152e+00
2.775194e+00,3.784502e+00,6.031757e+00,-5.745870e-01,-9.025140e-01,5.779318e-02,1.071458e+00
6.322263e+00,2.078539e+00,7.650690e+00,7.004230e-01,7.691802e-02,2.230489e-01,7.390937e-01
5.463630e+00,4.200697e+00,7.358742e+00,-1.509902e+00,-1.931630e+00,-1.269046e+00,2.760702e+00
4.314534e+00,7.856277e+00,4.318701e-01,-3.299517e-01,-8.060693e-01,-8.104842e-01,1.189748e+00
4.620261e+00,2.126485e+00,6.650158e+00,-2.000230e-01,-3.767805e-01,5.375927e-01,6.862788e-01
6.894333e+00,4.937846e-01,7.858550e+00,-1.493843e-01,9.278789e-01,9.700405e-01,1.350649e+00
7.318233e+00,2.459668e+00,1.655293e+00,-1.558978e+00,-1.946435e-02,-6.753796e-01,1.699097e+00
6.472591e+00,5.342153e+00,7.023036e+00,-9.992360e-01,-8.285683e-01,-7.165784e-01,1.482728e+00
8.281738e-01,6.230526e+00,1.648098e+00,-3.724208e-01,-8.184291e-01,-6.580904e-01,1.114274e+00
2.592579e+00,6.159710e+00,2.220645e+00,-2.189931e-01,-5.185470e-01,-3.476446e-01,6.615934e-01
5.501255e+00,6.382168e+00,7.917623e+00,1.393544e-01,1.028616e+00,5.286541e-01,1.164880e+00
3.526552e-01,1.237014e+00,8.136450e+00,4.558959e-01,9.445506e-01,9.239969e-01,1.397779e+00
8.863334e-01,2.869731e+00,3.336366e+00,-6.414491e-02,6.250642e-01,-3.482344e-01,7.183920e-01
1.780914e+00,5.608209e+00,1.833174e+00,6.283313e-01,-1.163147e+00,7.388121e-01,1.514449e+00
3.925114e-01,9.058277e-01,1.358339e+00,-1.440539e-01,-1.850550e-01,-1.694132e-02,2.351252e-01
9.905775e-01,3.065836e+00,8.604971e+00,-4.245723e-01,1.956813e+00,-5.583720e-01,2.078740e+00
2.785217e+00,7.575319e+00,3.994020e-02,-8.286730e-01,-2.300310e-01,9.429242e-01,1.276213e+00
3.793238e+00,3.146774e+00,8.348441e+00,1.021374e+00,-2.801052e-01,-6.081799e-01,1.221289e+00
5.085596e+00,5.244031e+00,3.803572e+00,-2.750929e-01,8.573757e-01,-9.381230e-01,1.300325e+00
2.439764e+00,6.394641e+00,2.661388e-01,-4.521572e-01,1.057569e+00,-4.028207e-02,1.150878e+00
6.138780e+00,3.538454e+00,8.903008e+00,6.885378e-01,-1.009083e+00,5.080921e-01,1.323061e+00
5.328935e+00,5.739095e+00,6.853455e+00,-9.067809e-01,-8.894800e-01,1.497212e-01,1.279001e+00
2.177277e+00,8.644211e+00,1.250962e+00,-5.723151e-01,-1.101683e+00,1.192394e+00,1.721352e+00
5.956590e+00,6.447556e+00,8.844598e+00,8.542611e-02,-1.316605e-01,2.513934e-03,1.569663e-01
5.191416e+00,5.877641e+00,3.318559e-01,-1.230956e+00,-4.427557e-01,3.302965e-01,1.349215e+00
7.107409e+00,2.809674e+00,5.939723e-01,-1.130243e+00,-9.154999e-01,5.820476e-01,1.566642e+00
6.979369e+00,4.843490e-01,1.649682e+00,-6.845823e-01,2.092734e-01,-2.157968e-01,7.476741e-01
6.069391e+00,4.471920e+00,7.892520e-01,-1.768426e-01,-2.694232e-01,1.569871e-01,3.584789e-01
7.551513e-02,3.037575e+00,7.765720e+00,-8.246686e-02,9.585781e-01,1.147537e+00,1.497502e+00
8.007561e+00,4.798200e+00,1.330882e+00,1.067214e+00,-7.336722e-01,7.095397e-01,1.476708e+00
3.204929e-01,5.832980e+00,5.229686e-01,4.100165e-02,3.891852e-01,-2.078563e-01,4.431146e-01
8.870978e+00,7.405145e+00,6.819707e+00,2.728272e-01,-1.735463e-01,-4.972441e-01,5.931313e-01
1.964541e+00,1.190519e-02,1.931245e-01,7.424482e-02,3.849744e-01,-1.389388e+00,1.443647e+00
3.532321e+00,6.524769e+00,6.782161e+00,3.988293e-01,9.632495e-01,7.850576e-01,1.305079e+00
4.525453e+00,7.248312e+00,1.636055e+00,-5.973186e-01,1.116831e+00,-7.080021e-01,1.450988e+00
2.786678e+00,5.159190e+00,2.443523e+00,1.441802e+00,-6.522835e-01,-1.832997e+00,2.421600e+00
5.805057e+00,3.088203e+00,7.835917e+00,1.283469e-01,-1.067718e+00,-7.159933e-01,1.291952e+00
4.085171e+00,5.949230e+00,7.557169e+00,-1.350378e+00,-5.433803e-01,-1.323764e+00,1.967520e+00
4.655565e+00,4.234199e+00,8.107442e+00,1.303666e+00,9.579101e-01,-1.237010e+00,2.036500e+00
1.263861e+00,5.215376e-01,7.992349e+00,2.284886e+00,8.557748e-02,-1.234016e+00,2.598235e+00
8.637703e+00,6.366772e+00,2.076250e+00,-3.148501e-02,5.039907e-01,1.826477e-01,5.369899e-01
6.704712e+00,6.072145e+00,5.218263e+00,-5.013896e-01,1.443679e-02,3.461158e-01,6.094228e-01
5.684450e+00,4.712665e+00,8.218071e+00,3.628027e-01,1.530260e+00,1.091591e+00,1.914391e+00
6.127870e+00,5.390940e+00,1.421097e-01,1.546449e-01,-2.893066e-01,2.585284e-01,4.176725e-01
6.251931e+00,7.770363e+00,2.690384e+00,-1.805320e+00,8.374561e-01,-1.475366e+00,2.477341e+00
7.132989e+00,6.888140e+00,4.340623e+00,-1.389650e+00,4.514806e-01,-7.135176e-01,1.626059e+00
5.231085e+00,6.372243e+00,1.454518e+00,6.736140e-01,5.654890e-01,-8.694294e-01,1.236706e+00
5.745904e-01,5.197808e+00,1.511430e+00,-6.994179e-01,-4.302686e-01,6.913365e-03,8.211969e-01
6.605520e+00,6.360381e+00,7.167690e-01,-1.663205e-01,-1.650971e+00,-7.370532e-01,1.815658e+00
7.607121e+00,7.272131e+00,7.542125e+00,-3.991415e-01,-3.755029e-01,-1.094741e+00,1.224244e+00
7.057508e-01,5.531164e+00,2.510311e+00,-4.330588e-01,-3.994531e-01,7.950407e-02,5.944944e-01
2.363254e-02,7.295158e+00,3.912607e+00,1.066442e+00,-4.737983e-01,3.291868e-01,1.212497e+00
2.422186e-01,7.042387e+00,2.895391e+00,4.183488e-01,-6.406071e-01,-1.129089e+00,1.363904e+00
4.961106e+00,4.523262e+00,1.343748e-01,-5.830795e-01,5.550005e-01,-6.451251e-01,1.031598e+00
5.835641e+00,5.165093e+00,5.274623e+00,-7.662529e-01,-9.486141e-01,7.062470e-01,1.409183e+00
2.554675e+00,7.614453e+00,7.607366e+00,-9.637788e-01,8.476809e-01,-5.289966e-01,1.388261e+00
5.858295e+00,7.936005e+00,7.759481e-01,9.520521e-01,5.647463e-01,1.349267e-01,1.115144e+00
