TimeStep,Temp,PotEnergy,TotEnergy,MeanSqDisp
0,1.998167e-01,-5.919084e-04,-5.646010e-04,3.872983e-03
1,1.992655e-01,-5.918298e-04,-5.645978e-04,7.742417e-03
2,1.983420e-01,-5.916981e-04,-5.645924e-04,1.160471e-02
3,1.970396e-01,-5.915126e-04,-5.645848e-04,1.545621e-02
4,1.953495e-01,-5.912719e-04,-5.645751e-04,1.929312e-02
5,1.932609e-01,-5.909747e-04,-5.645634e-04,2.311154e-02
6,1.907620e-01,-5.906195e-04,-5.645496e-04,2.690737e-02
7,1.878408e-01,-5.902046e-04,-5.645339e-04,3.067629e-02
8,1.844853e-01,-5.897287e-04,-5.645166e-04,3.441378e-02
9,1.806857e-01,-5.891910e-04,-5.644982e-04,3.811505e-02
10,1.764349e-01,-5.885910e-04,-5.644791e-04,4.177502e-02
11,1.717310e-01,-5.879289e-04,-5.644598e-04,4.538837e-02
12,1.665784e-01,-5.872055e-04,-5.644406e-04,4.894948e-02
13,1.609903e-01,-5.864228e-04,-5.644216e-04,5.245249e-02
14,1.549908e-01,-5.855843e-04,-5.644030e-04,5.589131e-02
15,1.486164e-01,-5.846951e-04,-5.643849e-04,5.925967e-02
16,1.419181e-01,-5.837620e-04,-5.643673e-04,6.255120e-02
17,1.349618e-01,-5.827943e-04,-5.643502e-04,6.575951e-02
18,1.278286e-01,-5.818030e-04,-5.643337e-04,6.887827e-02
19,1.206136e-01,-5.808010e-04,-5.643178e-04,7.190138e-02
20,1.134234e-01,-5.798031e-04,-5.643025e-04,7.482307e-02
21,1.063721e-01,-5.788249e-04,-5.642879e-04,7.763807e-02
22,9.957655e-02,-5.778824e-04,-5.642740e-04,8.034169e-02
23,9.315092e-02,-5.769912e-04,-5.642610e-04,8.293002e-02
24,8.720072e-02,-5.761658e-04,-5.642488e-04,8.540001e-02
25,8.181763e-02,-5.754189e-04,-5.642375e-04,8.774955e-02
26,7.707508e-02,-5.747604e-04,-5.642272e-04,8.997752e-02
27,7.302532e-02,-5.741977e-04,-5.642179e-04,9.208386e-02
28,6.969787e-02,-5.737346e-04,-5.642095e-04,9.406949e-02
29,6.709963e-02,-5.733720e-04,-5.642020e-04,9.593631e-02
30,6.521625e-02,-5.731079e-04,-5.641953e-04,9.768712e-02
31,6.401467e-02,-5.729378e-04,-5.641894e-04,9.932552e-02
32,6.344627e-02,-5.728550e-04,-5.641843e-04,1.008558e-01
33,6.345056e-02,-5.728510e-04,-5.641798e-04,1.022828e-01
34,6.395875e-02,-5.729166e-04,-5.641759e-04,1.036119e-01
35,6.489730e-02,-5.730416e-04,-5.641726e-04,1.048488e-01
