TimeStep,Temp,PotEnergy,TotEnergy,MeanSqDisp
0,3.491102e-01,-1.484862e-02,-1.380129e-02,5.123475e-03
1,3.464410e-01,-1.484048e-02,-1.380116e-02,1.023392e-02
2,3.419930e-01,-1.482692e-02,-1.380094e-02,1.531818e-02
3,3.357681e-01,-1.480794e-02,-1.380064e-02,2.036291e-02
4,3.277743e-01,-1.478357e-02,-1.380025e-02,2.535441e-02
5,3.180317e-01,-1.475388e-02,-1.379979e-02,3.027855e-02
6,3.065812e-01,-1.471900e-02,-1.379925e-02,3.512077e-02
7,2.934937e-01,-1.467915e-02,-1.379867e-02,3.986598e-02
8,2.788820e-01,-1.463469e-02,-1.379805e-02,4.449868e-02
9,2.629114e-01,-1.458613e-02,-1.379740e-02,4.900298e-02
10,2.458111e-01,-1.453418e-02,-1.379675e-02,5.336285e-02
11,2.278805e-01,-1.447977e-02,-1.379612e-02,5.756235e-02
12,2.094910e-01,-1.442401e-02,-1.379554e-02,6.158598e-02
13,1.910785e-01,-1.436822e-02,-1.379499e-02,6.541915e-02
14,1.731252e-01,-1.431387e-02,-1.379449e-02,6.904866e-02
15,1.561311e-01,-1.426244e-02,-1.379405e-02,7.246326e-02
16,1.405772e-01,-1.421541e-02,-1.379368e-02,7.565411e-02
17,1.268863e-01,-1.417404e-02,-1.379338e-02,7.861526e-02
18,1.153874e-01,-1.413930e-02,-1.379314e-02,8.134393e-02
19,1.062913e-01,-1.411184e-02,-1.379297e-02,8.384062e-02
20,9.967953e-02,-1.409190e-02,-1.379286e-02,8.610907e-02
21,9.550813e-02,-1.407933e-02,-1.379281e-02,8.815606e-02
22,9.362367e-02,-1.407366e-02,-1.379279e-02,8.999102e-02
23,9.378661e-02,-1.407416e-02,-1.379280e-02,9.162560e-02
24,9.569816e-02,-1.407994e-02,-1.379285e-02,9.307315e-02
25,9.902689e-02,-1.408999e-02,-1.379291e-02,9.434817e-02
26,1.034323e-01,-1.410329e-02,-1.379299e-02,9.546586e-02
27,1.085842e-01,-1.411883e-02,-1.379307e-02,9.644160e-02
