TimeStep,Temp,PotEnergy,TotEnergy,MeanSqDisp
0,3.499890e-01,-4.898559e-04,-4.420258e-04,5.123475e-03
1,3.499532e-01,-4.898465e-04,-4.420213e-04,1.024679e-02
2,3.498839e-01,-4.898316e-04,-4.420158e-04,1.536974e-02
3,3.497667e-01,-4.898160e-04,-4.420162e-04,2.049204e-02
4,3.495815e-01,-4.897994e-04,-4.420250e-04,2.561327e-02
5,3.493015e-01,-4.897771e-04,-4.420409e-04,3.073285e-02
6,3.488930e-01,-4.897418e-04,-4.420615e-04,3.584996e-02
7,3.483151e-01,-4.896862e-04,-4.420848e-04,4.096353e-02
8,3.475196e-01,-4.896020e-04,-4.421093e-04,4.607212e-02
9,3.464507e-01,-4.894804e-04,-4.421338e-04,5.117393e-02
10,3.450456e-01,-4.893121e-04,-4.421575e-04,5.626668e-02
11,3.432348e-01,-4.890871e-04,-4.421800e-04,6.134759e-02
12,3.409438e-01,-4.887947e-04,-4.422007e-04,6.641328e-02
13,3.380947e-01,-4.884240e-04,-4.422194e-04,7.145972e-02
14,3.346098e-01,-4.879641e-04,-4.422357e-04,7.648219e-02
15,3.304163e-01,-4.874049e-04,-4.422496e-04,8.147519e-02
16,3.254528e-01,-4.867378e-04,-4.422608e-04,8.643247e-02
17,3.196764e-01,-4.859568e-04,-4.422692e-04,9.134698e-02
18,3.130720e-01,-4.850597e-04,-4.422747e-04,9.621092e-02
19,3.056611e-01,-4.840496e-04,-4.422774e-04,1.010159e-01
20,2.975082e-01,-4.829352e-04,-4.422772e-04,1.057529e-01
21,2.887255e-01,-4.817321e-04,-4.422743e-04,1.104127e-01
22,2.794714e-01,-4.804620e-04,-4.422690e-04,1.149859e-01
23,2.699441e-01,-4.791525e-04,-4.422615e-04,1.194636e-01
24,2.603692e-01,-4.778349e-04,-4.422524e-04,1.238371e-01
25,2.509844e-01,-4.765420e-04,-4.422420e-04,1.280988e-01
26,2.420226e-01,-4.753060e-04,-4.422307e-04,1.322422e-01
27,2.336957e-01,-4.741562e-04,-4.422189e-04,1.362620e-01
28,2.261817e-01,-4.731171e-04,-4.422067e-04,1.401545e-01
29,2.196159e-01,-4.722076e-04,-4.421945e-04,1.439176e-01
30,2.140866e-01,-4.714401e-04,-4.421826e-04,1.475506e-01
