TimeStep,Temp,PotEnergy,TotEnergy,MeanSqDisp
0,9.990991e-02,-1.299386e-02,-1.269413e-02,2.738613e-03
1,9.963945e-02,-1.299302e-02,-1.269410e-02,5.474758e-03
2,9.918808e-02,-1.299160e-02,-1.269404e-02,8.205955e-03
3,9.855509e-02,-1.298962e-02,-1.269395e-02,1.092970e-02
4,9.773962e-02,-1.298707e-02,-1.269385e-02,1.364345e-02
5,9.674081e-02,-1.298394e-02,-1.269372e-02,1.634464e-02
6,9.555791e-02,-1.298024e-02,-1.269356e-02,1.903062e-02
7,9.419043e-02,-1.297596e-02,-1.269339e-02,2.169871e-02
8,9.263834e-02,-1.297111e-02,-1.269319e-02,2.434614e-02
9,9.090234e-02,-1.296568e-02,-1.269297e-02,2.697010e-02
10,8.898403e-02,-1.295969e-02,-1.269274e-02,2.956766e-02
11,8.688624e-02,-1.295315e-02,-1.269249e-02,3.213586e-02
12,8.461332e-02,-1.294607e-02,-1.269223e-02,3.467163e-02
13,8.217146e-02,-1.293848e-02,-1.269197e-02,3.717187e-02
14,7.956899e-02,-1.293041e-02,-1.269170e-02,3.963337e-02
15,7.681672e-02,-1.292187e-02,-1.269142e-02,4.205292e-02
16,7.392820e-02,-1.291293e-02,-1.269115e-02,4.442724e-02
17,7.091991e-02,-1.290364e-02,-1.269088e-02,4.675305e-02
18,6.781144e-02,-1.289405e-02,-1.269061e-02,4.902708e-02
19,6.462553e-02,-1.288423e-02,-1.269035e-02,5.124609e-02
20,6.138798e-02,-1.287426e-02,-1.269009e-02,5.340692e-02
21,5.812738e-02,-1.286423e-02,-1.268985e-02,5.550652e-02
22,5.487472e-02,-1.285423e-02,-1.268961e-02,5.754198e-02
23,5.166282e-02,-1.284437e-02,-1.268938e-02,5.951057e-02
24,4.852554e-02,-1.283474e-02,-1.268916e-02,6.140979e-02
25,4.549694e-02,-1.282544e-02,-1.268895e-02,6.323744e-02
26,4.261028e-02,-1.281659e-02,-1.268876e-02,6.499160e-02
27,3.989696e-02,-1.280826e-02,-1.268857e-02,6.667069e-02
28,3.738554e-02,-1.280055e-02,-1.268839e-02,6.827353e-02
29,3.510076e-02,-1.279354e-02,-1.268823e-02,6.979932e-02
30,3.306282e-02,-1.278727e-02,-1.268808e-02,7.124769e-02
31,3.128675e-02,-1.278181e-02,-1.268795e-02,7.261866e-02
32,2.978206e-02,-1.277716e-02,-1.268782e-02,7.391270e-02
33,2.855269e-02,-1.277336e-02,-1.268770e-02,7.513067e-02
34,2.759708e-02,-1.277038e-02,-1.268759e-02,7.627383e-02
35,2.690855e-02,-1.276821e-02,-1.268749e-02,7.734380e-02
36,2.647586e-02,-1.276683e-02,-1.268740e-02,7.834252e-02
37,2.628380e-02,-1.276617e-02,-1.268732e-02,7.927224e-02
38,2.631399e-02,-1.276619e-02,-1.268725e-02,8.013546e-02
39,2.654560e-02,-1.276683e-02,-1.268719e-02,8.093490e-02
40,2.695612e-02,-1.276801e-02,-1.268714e-02,8.167343e-02
41,2.752210e-02,-1.276966e-02,-1.268709e-02,8.235408e-02
42,2.821974e-02,-1.277171e-02,-1.268705e-02,8.297993e-02
