TimeStep,Temp,PotEnergy,TotEnergy,MeanSqDisp
0,6.493995e-01,-1.299227e-02,-1.104407e-02,6.982120e-03
1,6.475743e-01,-1.298658e-02,-1.104385e-02,1.395779e-02
2,6.444576e-01,-1.297686e-02,-1.104349e-02,2.092028e-02
3,6.399444e-01,-1.296281e-02,-1.104297e-02,2.786236e-02
4,6.338934e-01,-1.294401e-02,-1.104233e-02,3.477605e-02
5,6.261298e-01,-1.291999e-02,-1.104160e-02,4.165238e-02
6,6.164515e-01,-1.289023e-02,-1.104087e-02,4.848118e-02
7,6.046398e-01,-1.285407e-02,-1.104015e-02,5.525078e-02
8,5.904761e-01,-1.281087e-02,-1.103944e-02,6.194785e-02
9,5.737671e-01,-1.276006e-02,-1.103876e-02,6.855718e-02
10,5.543794e-01,-1.270122e-02,-1.103808e-02,7.506162e-02
11,5.322842e-01,-1.263422e-02,-1.103736e-02,8.144205e-02
12,5.076094e-01,-1.255946e-02,-1.103663e-02,8.767760e-02
13,4.806907e-01,-1.247795e-02,-1.103588e-02,9.374606e-02
14,4.521084e-01,-1.239145e-02,-1.103512e-02,9.962451e-02
15,4.226931e-01,-1.230245e-02,-1.103437e-02,1.052904e-01
16,3.934821e-01,-1.221407e-02,-1.103363e-02,1.107225e-01
17,3.656224e-01,-1.212979e-02,-1.103292e-02,1.159026e-01
18,3.402317e-01,-1.205298e-02,-1.103228e-02,1.208166e-01
19,3.182503e-01,-1.198650e-02,-1.103175e-02,1.254553e-01
20,3.003218e-01,-1.193227e-02,-1.103131e-02,1.298154e-01
21,2.867363e-01,-1.189120e-02,-1.103099e-02,1.338991e-01
22,2.774415e-01,-1.186308e-02,-1.103075e-02,1.377140e-01
23,2.721100e-01,-1.184691e-02,-1.103058e-02,1.412720e-01
24,2.702335e-01,-1.184115e-02,-1.103045e-02,1.445883e-01
25,2.712154e-01,-1.184399e-02,-1.103034e-02,1.476807e-01
26,2.744444e-01,-1.185360e-02,-1.103027e-02,1.505679e-01
27,2.793378e-01,-1.186821e-02,-1.103019e-02,1.532693e-01
28,2.853600e-01,-1.188622e-02,-1.103014e-02,1.558043e-01
29,2.920260e-01,-1.190617e-02,-1.103009e-02,1.581913e-01
30,2.989005e-01,-1.192676e-02,-1.103006e-02,1.604480e-01
31,3.056034e-01,-1.194684e-02,-1.103003e-02,1.625906e-01
32,3.118181e-01,-1.196545e-02,-1.103000e-02,1.646335e-01
33,3.173017e-01,-1.198187e-02,-1.102996e-02,1.665897e-01
34,3.218895e-01,-1.199560e-02,-1.102993e-02,1.684698e-01
35,3.254948e-01,-1.200640e-02,-1.102991e-02,1.702827e-01
36,3.281048e-01,-1.201421e-02,-1.102989e-02,1.720356e-01
37,3.297738e-01,-1.201919e-02,-1.102986e-02,1.737337e-01
38,3.306158e-01,-1.202169e-02,-1.102984e-02,1.753807e-01
39,3.307952e-01,-1.202221e-02,-1.102983e-02,1.769793e-01
40,3.305140e-01,-1.202136e-02,-1.102982e-02,1.785310e-01
41,3.299910e-01,-1.201979e-02,-1.102982e-02,1.800367e-01
42,3.294331e-01,-1.201811e-02,-1.102981e-02,1.814971e-01
