TimeStep,Temp,PotEnergy,TotEnergy,MeanSqDisp
0,2.493523e-01,-6.764468e-04,-6.423698e-04,4.330127e-03
1,2.474114e-01,-6.761772e-04,-6.423655e-04,8.649028e-03
2,2.441844e-01,-6.757290e-04,-6.423583e-04,1.294542e-02
3,2.396840e-01,-6.751040e-04,-6.423484e-04,1.720790e-02
4,2.339305e-01,-6.743051e-04,-6.423357e-04,2.142490e-02
5,2.269558e-01,-6.733366e-04,-6.423204e-04,2.558466e-02
6,2.188066e-01,-6.722052e-04,-6.423027e-04,2.967516e-02
7,2.095495e-01,-6.709201e-04,-6.422827e-04,3.368420e-02
8,1.992757e-01,-6.694941e-04,-6.422607e-04,3.759938e-02
9,1.881058e-01,-6.679444e-04,-6.422375e-04,4.140822e-02
10,1.761941e-01,-6.662925e-04,-6.422135e-04,4.509824e-02
11,1.637308e-01,-6.645651e-04,-6.421894e-04,4.865714e-02
12,1.509417e-01,-6.627937e-04,-6.421658e-04,5.207303e-02
13,1.380851e-01,-6.610143e-04,-6.421433e-04,5.533465e-02
14,1.254438e-01,-6.592656e-04,-6.421222e-04,5.843170e-02
15,1.133129e-01,-6.575883e-04,-6.421028e-04,6.135512e-02
16,1.019847e-01,-6.560228e-04,-6.420853e-04,6.409741e-02
17,9.173046e-02,-6.546060e-04,-6.420700e-04,6.665289e-02
18,8.278260e-02,-6.533700e-04,-6.420568e-04,6.901797e-02
19,7.531932e-02,-6.523390e-04,-6.420458e-04,7.119128e-02
20,6.945354e-02,-6.515285e-04,-6.420368e-04,7.317373e-02
21,6.522793e-02,-6.509441e-04,-6.420299e-04,7.496847e-02
22,6.261606e-02,-6.505820e-04,-6.420247e-04,7.658081e-02
23,6.152920e-02,-6.504299e-04,-6.420212e-04,7.801795e-02
24,6.182720e-02,-6.504683e-04,-6.420188e-04,7.928874e-02
25,6.333199e-02,-6.506727e-04,-6.420176e-04,8.040337e-02
26,6.584164e-02,-6.510153e-04,-6.420173e-04,8.137301e-02
27,6.914382e-02,-6.514669e-04,-6.420176e-04,8.220948e-02
28,7.302748e-02,-6.519984e-04,-6.420184e-04,8.292495e-02
29,7.729230e-02,-6.525824e-04,-6.420195e-04,8.353159e-02
30,8.175562e-02,-6.531938e-04,-6.420209e-04,8.404133e-02
31,8.625704e-02,-6.538105e-04,-6.420225e-04,8.446567e-02
32,9.066086e-02,-6.544140e-04,-6.420241e-04,8.481543e-02
33,9.485695e-02,-6.549891e-04,-6.420258e-04,8.510063e-02
34,9.876015e-02,-6.555241e-04,-6.420274e-04,8.533043e-02
35,1.023089e-01,-6.560106e-04,-6.420289e-04,8.551298e-02
36,1.054630e-01,-6.564431e-04,-6.420303e-04,8.565546e-02
37,1.082016e-01,-6.568187e-04,-6.420317e-04,8.576402e-02
38,1.105202e-01,-6.571369e-04,-6.420330e-04,8.584382e-02
39,1.124285e-01,-6.573990e-04,-6.420343e-04,8.589909e-02
40,1.139478e-01,-6.576079e-04,-6.420356e-04,8.593314e-02
41,1.151089e-01,-6.577680e-04,-6.420370e-04,8.594849e-02
42,1.159497e-01,-6.578842e-04,-6.420384e-04,8.594689e-02
43,1.165133e-01,-6.579627e-04,-6.420398e-04,8.592949e-02
44,1.168463e-01,-6.580097e-04,-6.420413e-04,8.589686e-02
45,1.169969e-01,-6.580317e-04,-6.420426e-04,8.584914e-02
46,1.170135e-01,-6.580353e-04,-6.420440e-04,8.578614e-02
47,1.169431e-01,-6.580272e-04,-6.420455e-04,8.570741e-02
48,1.168305e-01,-6.580133e-04,-6.420470e-04,8.561236e-02
49,1.167168e-01,-6.579993e-04,-6.420485e-04,8.550034e-02
50,1.166387e-01,-6.579902e-04,-6.420501e-04,8.537070e-02
51,1.166283e-01,-6.579904e-04,-6.420518e-04,8.522290e-02
52,1.167119e-01,-6.580035e-04,-6.420534e-04,8.505654e-02
53,1.169102e-01,-6.580323e-04,-6.420552e-04,8.487142e-02
54,1.172379e-01,-6.580789e-04,-6.420570e-04,8.466757e-02
55,1.177039e-01,-6.581445e-04,-6.420588e-04,8.444531e-02
56,1.183110e-01,-6.582294e-04,-6.420608e-04,8.420522e-02
57,1.190567e-01,-6.583333e-04,-6.420628e-04,8.394818e-02
58,1.199334e-01,-6.584551e-04,-6.420648e-04,8.367536e-02
59,1.209291e-01,-6.585933e-04,-6.420669e-04,8.338821e-02
60,1.220281e-01,-6.587456e-04,-6.420691e-04,8.308842e-02
61,1.232120e-01,-6.589096e-04,-6.420712e-04,8.277793e-02
62,1.244606e-01,-6.590824e-04,-6.420734e-04,8.245883e-02
63,1.257526e-01,-6.592610e-04,-6.420755e-04,8.213340e-02
64,1.270668e-01,-6.594427e-04,-6.420775e-04,8.180401e-02
65,1.283826e-01,-6.596245e-04,-6.420795e-04,8.147308e-02
66,1.296807e-01,-6.598038e-04,-6.420814e-04,8.114310e-02
67,1.309433e-01,-6.599781e-04,-6.420832e-04,8.081651e-02
68,1.321547e-01,-6.601454e-04,-6.420849e-04,8.049572e-02
69,1.333011e-01,-6.603037e-04,-6.420866e-04,8.018304e-02
70,1.343706e-01,-6.604514e-04,-6.420881e-04,7.988070e-02
71,1.353529e-01,-6.605870e-04,-6.420894e-04,7.959078e-02
72,1.362396e-01,-6.607094e-04,-6.420907e-04,7.931520e-02
73,1.370233e-01,-6.608176e-04,-6.420917e-04,7.905570e-02
74,1.376980e-01,-6.609108e-04,-6.420927e-04,7.881385e-02
75,1.382589e-01,-6.609882e-04,-6.420935e-04,7.859099e-02
76,1.387019e-01,-6.610495e-04,-6.420942e-04,7.838823e-02
77,1.390245e-01,-6.610943e-04,-6.420949e-04,7.820647e-02
78,1.392252e-01,-6.611223e-04,-6.420955e-04,7.804634e-02
79,1.393039e-01,-6.611333e-04,-6.420958e-04,7.790822e-02
80,1.392622e-01,-6.611277e-04,-6.420959e-04,7.779224e-02
81,1.391032e-01,-6.611061e-04,-6.420960e-04,7.769828e-02
82,1.388319e-01,-6.610688e-04,-6.420958e-04,7.762596e-02
83,1.384547e-01,-6.610170e-04,-6.420956e-04,7.757465e-02
84,1.379797e-01,-6.609518e-04,-6.420952e-04,7.754351e-02
85,1.374166e-01,-6.608742e-04,-6.420946e-04,7.753149e-02
86,1.367759e-01,-6.607861e-04,-6.420940e-04,7.753734e-02
87,1.360694e-01,-6.606888e-04,-6.420933e-04,7.755966e-02
88,1.353091e-01,-6.605841e-04,-6.420925e-04,7.759692e-02
89,1.345077e-01,-6.604737e-04,-6.420916e-04,7.764748e-02
90,1.336780e-01,-6.603594e-04,-6.420907e-04,7.770964e-02
91,1.328325e-01,-6.602429e-04,-6.420898e-04,7.778163e-02
92,1.319836e-01,-6.601260e-04,-6.420888e-04,7.786168e-02
93,1.311435e-01,-6.600101e-04,-6.420878e-04,7.794802e-02
94,1.303236e-01,-6.598969e-04,-6.420866e-04,7.803893e-02
95,1.295348e-01,-6.597879e-04,-6.420855e-04,7.813273e-02
96,1.287873e-01,-6.596846e-04,-6.420843e-04,7.822782e-02
97,1.280901e-01,-6.595882e-04,-6.420832e-04,7.832270e-02
98,1.274511e-01,-6.594999e-04,-6.420822e-04,7.841600e-02
99,1.268771e-01,-6.594205e-04,-6.420813e-04,7.850646e-02
