TimeStep,Temp,PotEnergy,TotEnergy,MeanSqDisp
0,7.480442e-01,-6.762655e-04,-5.740364e-04,7.500000e-03
1,7.421471e-01,-6.754479e-04,-5.740247e-04,1.498043e-02
2,7.322205e-01,-6.740719e-04,-5.740054e-04,2.242125e-02
3,7.181261e-01,-6.721188e-04,-5.739784e-04,2.980146e-02
4,6.996975e-01,-6.695661e-04,-5.739442e-04,3.709863e-02
5,6.767772e-01,-6.663940e-04,-5.739044e-04,4.428852e-02
6,6.492684e-01,-6.625921e-04,-5.738619e-04,5.134472e-02
7,6.172087e-01,-6.581684e-04,-5.738196e-04,5.823852e-02
8,5.808603e-01,-6.531603e-04,-5.737789e-04,6.493903e-02
9,5.408103e-01,-6.476481e-04,-5.737400e-04,7.141356e-02
10,4.980553e-01,-6.417679e-04,-5.737028e-04,7.762858e-02
11,4.540321e-01,-6.357161e-04,-5.736673e-04,8.355111e-02
12,4.105529e-01,-6.297418e-04,-5.736349e-04,8.915069e-02
13,3.696217e-01,-6.241204e-04,-5.736072e-04,9.440150e-02
14,3.331622e-01,-6.191167e-04,-5.735862e-04,9.928458e-02
15,3.027289e-01,-6.149446e-04,-5.735731e-04,1.037894e-01
16,2.792944e-01,-6.117370e-04,-5.735682e-04,1.079146e-01
17,2.631632e-01,-6.095347e-04,-5.735703e-04,1.116679e-01
18,2.540171e-01,-6.082922e-04,-5.735778e-04,1.150653e-01
19,2.510529e-01,-6.078980e-04,-5.735886e-04,1.181290e-01
20,2.531614e-01,-6.081986e-04,-5.736011e-04,1.208860e-01
21,2.591036e-01,-6.090232e-04,-5.736136e-04,1.233657e-01
22,2.676556e-01,-6.102037e-04,-5.736254e-04,1.255987e-01
23,2.777104e-01,-6.115885e-04,-5.736361e-04,1.276149e-01
24,2.883362e-01,-6.130498e-04,-5.736452e-04,1.294425e-01
25,2.988000e-01,-6.144875e-04,-5.736530e-04,1.311073e-01
26,3.085661e-01,-6.158285e-04,-5.736593e-04,1.326321e-01
27,3.172791e-01,-6.170245e-04,-5.736646e-04,1.340368e-01
28,3.247411e-01,-6.180487e-04,-5.736690e-04,1.353376e-01
29,3.308839e-01,-6.188919e-04,-5.736727e-04,1.365483e-01
30,3.357400e-01,-6.195588e-04,-5.736759e-04,1.376795e-01
31,3.394117e-01,-6.200634e-04,-5.736788e-04,1.387394e-01
32,3.420428e-01,-6.204257e-04,-5.736815e-04,1.397344e-01
33,3.437957e-01,-6.206681e-04,-5.736843e-04,1.406688e-01
34,3.448370e-01,-6.208134e-04,-5.736873e-04,1.415460e-01
35,3.453290e-01,-6.208838e-04,-5.736905e-04,1.423679e-01
36,3.454273e-01,-6.209006e-04,-5.736939e-04,1.431359e-01
37,3.452782e-01,-6.208836e-04,-5.736973e-04,1.438508e-01
38,3.450168e-01,-6.208516e-04,-5.737009e-04,1.445129e-01
39,3.447639e-01,-6.208208e-04,-5.737047e-04,1.451226e-01
40,3.446219e-01,-6.208055e-04,-5.737089e-04,1.456799e-01
41,3.446719e-01,-6.208167e-04,-5.737132e-04,1.461852e-01
42,3.449728e-01,-6.208621e-04,-5.737175e-04,1.466390e-01
43,3.455619e-01,-6.209469e-04,-5.737218e-04,1.470422e-01
44,3.464586e-01,-6.210737e-04,-5.737261e-04,1.473957e-01
45,3.476675e-01,-6.212431e-04,-5.737302e-04,1.477010e-01
46,3.491814e-01,-6.214540e-04,-5.737342e-04,1.479599e-01
47,3.509819e-01,-6.217043e-04,-5.737384e-04,1.481742e-01
48,3.530392e-01,-6.219896e-04,-5.737427e-04,1.483464e-01
49,3.553116e-01,-6.223045e-04,-5.737470e-04,1.484791e-01
50,3.577466e-01,-6.226413e-04,-5.737510e-04,1.485749e-01
51,3.602836e-01,-6.229919e-04,-5.737549e-04,1.486368e-01
52,3.628582e-01,-6.233474e-04,-5.737586e-04,1.486678e-01
53,3.654092e-01,-6.236996e-04,-5.737621e-04,1.486709e-01
54,3.678835e-01,-6.240411e-04,-5.737655e-04,1.486489e-01
55,3.702411e-01,-6.243665e-04,-5.737687e-04,1.486045e-01
56,3.724558e-01,-6.246721e-04,-5.737716e-04,1.485404e-01
57,3.745145e-01,-6.249562e-04,-5.737743e-04,1.484586e-01
58,3.764141e-01,-6.252183e-04,-5.737768e-04,1.483614e-01
59,3.781598e-01,-6.254590e-04,-5.737790e-04,1.482505e-01
60,3.797628e-01,-6.256801e-04,-5.737810e-04,1.481276e-01
61,3.812399e-01,-6.258836e-04,-5.737826e-04,1.479941e-01
62,3.826116e-01,-6.260724e-04,-5.737840e-04,1.478513e-01
63,3.839007e-01,-6.262497e-04,-5.737852e-04,1.477003e-01
64,3.851302e-01,-6.264186e-04,-5.737860e-04,1.475422e-01
65,3.863210e-01,-6.265820e-04,-5.737867e-04,1.473780e-01
66,3.874898e-01,-6.267424e-04,-5.737873e-04,1.472087e-01
67,3.886467e-01,-6.269011e-04,-5.737880e-04,1.470354e-01
68,3.897947e-01,-6.270585e-04,-5.737885e-04,1.468588e-01
69,3.909291e-01,-6.272140e-04,-5.737889e-04,1.466802e-01
70,3.920387e-01,-6.273659e-04,-5.737892e-04,1.465006e-01
71,3.931067e-01,-6.275121e-04,-5.737894e-04,1.463209e-01
72,3.941138e-01,-6.276497e-04,-5.737894e-04,1.461422e-01
73,3.950404e-01,-6.277760e-04,-5.737891e-04,1.459654e-01
74,3.958705e-01,-6.278890e-04,-5.737886e-04,1.457914e-01
75,3.965944e-01,-6.279872e-04,-5.737879e-04,1.456209e-01
76,3.972094e-01,-6.280705e-04,-5.737872e-04,1.454545e-01
77,3.977190e-01,-6.281393e-04,-5.737863e-04,1.452926e-01
78,3.981300e-01,-6.281945e-04,-5.737853e-04,1.451358e-01
79,3.984497e-01,-6.282371e-04,-5.737842e-04,1.449842e-01
80,3.986837e-01,-6.282680e-04,-5.737831e-04,1.448380e-01
81,3.988358e-01,-6.282876e-04,-5.737820e-04,1.446972e-01
82,3.989101e-01,-6.282965e-04,-5.737807e-04,1.445619e-01
83,3.989129e-01,-6.282954e-04,-5.737793e-04,1.444319e-01
