PosX,PosY,PosZ,VelX,VelY,VelZ,Speed
9.312936e+00,1.194404e+00,9.595122e-01,-8.667721e-01,1.067850e+00,-3.214815e-02,1.375729e+00
1.025821e+00,3.407812e+00,9.628838e+00,5.886532e-01,-9.013522e-01,1.752381e+00,2.056645e+00
7.657273e-01,1.428176e-01,8.759612e+00,5.125263e-01,-4.918430e-01,-3.750349e-01,8.032708e-01
8.488198e+00,9.171563e+00,1.599255e+00,-7.176918e-01,6.677015e-01,-1.539539e-01,9.922745e-01
7.718728e+00,3.563491e-01,2.073644e+00,5.189471e-01,8.794067e-01,1.175561e+00,1.557114e+00
7.024368e+00,5.077109e-02,3.056951e+00,7.046755e-01,-3.627981e-01,-3.257286e-01,8.569067e-01
2.017405e+00,4.198287e+00,2.189976e+00,2.929666e-01,5.301378e-01,4.941619e-01,7.817106e-01
9.098554e-01,9.275418e-01,6.276128e-01,5.161240e-01,5.886045e-01,4.308192e-01,8.935572e-01
8.884387e-01,7.892664e+00,3.066004e+00,-7.771862e-01,-1.258329e+00,6.889598e-01,1.631587e+00
6.319649e+00,1.404886e+00,4.179826e+00,-2.799134e-01,3.225959e-01,3.963679e-01,5.826895e-01
3.741500e+00,2.767531e-01,3.961343e+00,-2.733692e-01,4.064512e-01,-4.534843e-01,6.675188e-01
3.029610e+00,2.962300e+00,3.018068e+00,-5.881768e-01,5.284374e-01,4.913125e-01,9.309059e-01
5.485509e+00,8.911125e+00,3.939406e+00,-2.276440e-01,1.013184e+00,4.682092e-01,1.139116e+00
8.628085e+00,5.378654e-01,7.468348e+00,-1.880316e-01,-1.160026e+00,3.118850e-03,1.175171e+00
7.821072e+00,8.190551e+00,2.533585e+00,2.001175e+00,1.563216e-01,1.863220e-01,2.015900e+00
7.341614e+00,8.941218e+00,4.397668e+00,6.990893e-01,6.578609e-02,1.273434e-01,7.136315e-01
8.932007e+00,7.761714e+00,2.404255e+00,-6.380698e-01,2.527389e-02,8.527649e-01,1.065354e+00
7.653300e+00,8.613916e-01,2.835335e-02,1.043153e-01,1.816681e+00,9.858542e-02,1.822342e+00
7.913454e+00,1.678438e+00,2.089736e+00,-2.148078e-01,-3.193392e-01,7.061082e-02,3.912874e-01
7.700931e+00,8.044785e+00,3.808721e+00,-6.425491e-01,-7.745304e-02,1.879874e-01,6.739493e-01
2.726189e+00,9.310470e+00,4.536764e+00,1.566397e-01,-3.903848e-01,9.024939e-01,9.957065e-01
7.669934e-01,9.696029e-01,6.783117e+00,-4.894413e-01,-3.785145e-01,-1.775950e-01,6.437127e-01
8.760268e+00,1.405733e+00,9.644170e+00,3.795252e-01,-1.543614e-01,2.474575e-01,4.786461e-01
8.948386e+00,3.415464e+00,5.298521e-01,-3.471276e-02,1.295094e-01,-1.727079e-01,2.186451e-01
4.190850e-01,1.864340e+00,1.159074e+00,2.838077e-01,8.649105e-01,1.861039e+00,2.071734e+00
1.263171e+00,2.907935e+00,1.529206e+00,1.404214e+00,-1.948126e-01,-1.618079e-01,1.426867e+00
6.287291e+00,8.783346e+00,2.964838e+00,-1.205239e+00,1.847475e+00,-3.646943e-01,2.235792e+00
1.130134e+00,3.264068e-01,2.889203e+00,4.052424e-01,7.253059e-01,6.554119e-01,1.058232e+00
3.243423e+00,3.806748e+00,6.764462e+00,1.587178e+00,6.865668e-01,3.523427e-01,1.764838e+00
5.646338e+00,6.426625e+00,3.106069e+00,-3.895633e-02,2.013244e-02,-2.719777e-01,2.754900e-01
7.245357e+00,1.582219e+00,8.398122e-01,2.460382e-01,9.008277e-01,9.762277e-01,1.350943e+00
7.008053e+00,2.297253e+00,1.688544e+00,-5.868669e-01,-5.207333e-02,-4.610980e-02,5.909742e-01
8.283188e+00,2.113661e+00,8.563847e+00,-2.507875e-01,1.074014e-01,-1.019381e+00,1.055257e+00
