TimeStep,Temp,PotEnergy,TotEnergy,MeanSqDisp
0,2.997233e-01,-1.299328e-02,-1.209411e-02,4.743416e-03
1,2.988907e-01,-1.299067e-02,-1.209400e-02,9.482457e-03
2,2.974932e-01,-1.298630e-02,-1.209382e-02,1.421269e-02
3,2.955150e-01,-1.298012e-02,-1.209358e-02,1.892957e-02
4,2.929339e-01,-1.297206e-02,-1.209326e-02,2.362832e-02
5,2.897219e-01,-1.296204e-02,-1.209287e-02,2.830395e-02
6,2.858468e-01,-1.294996e-02,-1.209242e-02,3.295110e-02
7,2.812740e-01,-1.293574e-02,-1.209192e-02,3.756403e-02
8,2.759684e-01,-1.291928e-02,-1.209138e-02,4.213654e-02
9,2.698977e-01,-1.290051e-02,-1.209081e-02,4.666195e-02
10,2.630362e-01,-1.287937e-02,-1.209026e-02,5.113305e-02
11,2.553692e-01,-1.285582e-02,-1.208972e-02,5.554206e-02
12,2.468988e-01,-1.282990e-02,-1.208920e-02,5.988068e-02
13,2.376493e-01,-1.280166e-02,-1.208871e-02,6.414011e-02
14,2.276742e-01,-1.277124e-02,-1.208822e-02,6.831110e-02
15,2.170606e-01,-1.273894e-02,-1.208776e-02,7.238409e-02
16,2.059336e-01,-1.270510e-02,-1.208730e-02,7.634938e-02
17,1.944571e-01,-1.267022e-02,-1.208685e-02,8.019731e-02
18,1.828311e-01,-1.263492e-02,-1.208642e-02,8.391855e-02
19,1.712842e-01,-1.259986e-02,-1.208601e-02,8.750434e-02
20,1.600616e-01,-1.256579e-02,-1.208561e-02,9.094681e-02
21,1.494103e-01,-1.253347e-02,-1.208524e-02,9.423928e-02
22,1.395618e-01,-1.250359e-02,-1.208490e-02,9.737647e-02
23,1.307169e-01,-1.247674e-02,-1.208458e-02,1.003548e-01
24,1.230318e-01,-1.245339e-02,-1.208430e-02,1.031722e-01
25,1.166105e-01,-1.243388e-02,-1.208405e-02,1.058288e-01
26,1.115008e-01,-1.241833e-02,-1.208383e-02,1.083261e-01
27,1.076966e-01,-1.240673e-02,-1.208364e-02,1.106673e-01
