TimeStep,Temp,PotEnergy,TotEnergy,MeanSqDisp
0,5.490778e-01,-1.398538e-02,-1.233815e-02,6.422616e-03
1,5.462966e-01,-1.397684e-02,-1.233795e-02,1.283446e-02
2,5.416096e-01,-1.396246e-02,-1.233764e-02,1.922452e-02
3,5.349361e-01,-1.394200e-02,-1.233719e-02,2.558131e-02
4,5.261664e-01,-1.391513e-02,-1.233663e-02,3.189251e-02
5,5.151700e-01,-1.388145e-02,-1.233594e-02,3.814482e-02
6,5.018090e-01,-1.384057e-02,-1.233514e-02,4.432358e-02
7,4.859580e-01,-1.379210e-02,-1.233423e-02,5.041265e-02
8,4.675349e-01,-1.373582e-02,-1.233322e-02,5.639419e-02
9,4.465407e-01,-1.367176e-02,-1.233214e-02,6.224861e-02
10,4.231109e-01,-1.360034e-02,-1.233100e-02,6.795470e-02
11,3.975696e-01,-1.352257e-02,-1.232986e-02,7.348998e-02
12,3.704711e-01,-1.344015e-02,-1.232874e-02,7.883130e-02
13,3.426090e-01,-1.335548e-02,-1.232766e-02,8.395589e-02
14,3.149680e-01,-1.327157e-02,-1.232667e-02,8.884259e-02
15,2.886149e-01,-1.319163e-02,-1.232579e-02,9.347327e-02
16,2.645511e-01,-1.311868e-02,-1.232503e-02,9.783408e-02
17,2.435728e-01,-1.305514e-02,-1.232442e-02,1.019164e-01
18,2.261855e-01,-1.300249e-02,-1.232393e-02,1.057172e-01
19,2.125907e-01,-1.296131e-02,-1.232354e-02,1.092386e-01
20,2.027275e-01,-1.293141e-02,-1.232323e-02,1.124879e-01
21,1.963396e-01,-1.291202e-02,-1.232300e-02,1.154757e-01
22,1.930428e-01,-1.290197e-02,-1.232284e-02,1.182160e-01
23,1.923800e-01,-1.289987e-02,-1.232273e-02,1.207246e-01
24,1.938625e-01,-1.290424e-02,-1.232265e-02,1.230189e-01
25,1.970017e-01,-1.291361e-02,-1.232261e-02,1.251166e-01
26,2.013321e-01,-1.292658e-02,-1.232258e-02,1.270355e-01
27,2.064289e-01,-1.294186e-02,-1.232258e-02,1.287930e-01
28,2.119184e-01,-1.295833e-02,-1.232258e-02,1.304056e-01
29,2.174844e-01,-1.297504e-02,-1.232259e-02,1.318886e-01
30,2.228693e-01,-1.299121e-02,-1.232260e-02,1.332560e-01
31,2.278732e-01,-1.300624e-02,-1.232262e-02,1.345203e-01
32,2.323512e-01,-1.301970e-02,-1.232264e-02,1.356925e-01
33,2.362101e-01,-1.303129e-02,-1.232266e-02,1.367818e-01
34,2.394039e-01,-1.304090e-02,-1.232269e-02,1.377959e-01
35,2.419289e-01,-1.304849e-02,-1.232270e-02,1.387412e-01
36,2.438173e-01,-1.305416e-02,-1.232271e-02,1.396225e-01
37,2.451307e-01,-1.305812e-02,-1.232273e-02,1.404435e-01
38,2.459543e-01,-1.306061e-02,-1.232275e-02,1.412066e-01
39,2.463921e-01,-1.306194e-02,-1.232277e-02,1.419138e-01
40,2.465627e-01,-1.306247e-02,-1.232278e-02,1.425659e-01
41,2.465955e-01,-1.306258e-02,-1.232280e-02,1.431634e-01
42,2.466258e-01,-1.306269e-02,-1.232282e-02,1.437066e-01
43,2.467866e-01,-1.306320e-02,-1.232284e-02,1.441957e-01
44,2.471998e-01,-1.306449e-02,-1.232289e-02,1.446310e-01
45,2.479650e-01,-1.306685e-02,-1.232295e-02,1.450130e-01
46,2.491498e-01,-1.307046e-02,-1.232301e-02,1.453428e-01
47,2.507843e-01,-1.307544e-02,-1.232308e-02,1.456221e-01
48,2.528599e-01,-1.308175e-02,-1.232317e-02,1.458530e-01
49,2.553345e-01,-1.308926e-02,-1.232326e-02,1.460383e-01
50,2.581416e-01,-1.309780e-02,-1.232337e-02,1.461814e-01
51,2.612005e-01,-1.310711e-02,-1.232351e-02,1.462860e-01
52,2.644263e-01,-1.311691e-02,-1.232363e-02,1.463561e-01
53,2.677369e-01,-1.312697e-02,-1.232376e-02,1.463959e-01
54,2.710581e-01,-1.313706e-02,-1.232389e-02,1.464096e-01
55,2.743263e-01,-1.314699e-02,-1.232401e-02,1.464014e-01
56,2.774893e-01,-1.315659e-02,-1.232412e-02,1.463756e-01
57,2.805048e-01,-1.316575e-02,-1.232424e-02,1.463361e-01
58,2.833383e-01,-1.317436e-02,-1.232434e-02,1.462866e-01
59,2.859590e-01,-1.318231e-02,-1.232444e-02,1.462307e-01
60,2.883359e-01,-1.318955e-02,-1.232454e-02,1.461716e-01
61,2.904363e-01,-1.319594e-02,-1.232463e-02,1.461123e-01
62,2.922261e-01,-1.320138e-02,-1.232470e-02,1.460553e-01
63,2.936726e-01,-1.320577e-02,-1.232476e-02,1.460028e-01
64,2.947493e-01,-1.320905e-02,-1.232480e-02,1.459566e-01
65,2.954408e-01,-1.321116e-02,-1.232483e-02,1.459177e-01
66,2.957465e-01,-1.321209e-02,-1.232485e-02,1.458868e-01
67,2.956834e-01,-1.321190e-02,-1.232485e-02,1.458640e-01
68,2.952859e-01,-1.321070e-02,-1.232484e-02,1.458489e-01
69,2.946035e-01,-1.320865e-02,-1.232484e-02,1.458405e-01
70,2.936956e-01,-1.320593e-02,-1.232484e-02,1.458375e-01
71,2.926252e-01,-1.320272e-02,-1.232485e-02,1.458383e-01
72,2.914510e-01,-1.319919e-02,-1.232484e-02,1.458411e-01
73,2.902225e-01,-1.319551e-02,-1.232484e-02,1.458441e-01
74,2.889775e-01,-1.319178e-02,-1.232485e-02,1.458453e-01
75,2.877448e-01,-1.318809e-02,-1.232485e-02,1.458428e-01
